@relation 'NPS_Class-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.RemoveType-Tstring-weka.filters.unsupervised.attribute.Remove-V-R570,4,1000,1004,221,573,372,1177,925,1466,1528'

@attribute GATS1s numeric
@attribute nBase numeric
@attribute SsssN numeric
@attribute SsOH numeric
@attribute AATS5p numeric
@attribute GATS4s numeric
@attribute AATSC3s numeric
@attribute IC5 numeric
@attribute NsOH numeric
@attribute nRot numeric
@attribute Class {Phenethylamines,Cannabinoids,Opioids,'Other substances',Benzodiazepines,Cathinones}

@data
0.522253,0,0,0,1.46063,0.960612,-0.022526,5.543296,0,4,Cannabinoids
1.038683,1,2.34838,0,0.997318,1.123976,0.010124,4.518397,0,1,Opioids
0.602018,0,0,0,1.157614,0.801286,-0.107501,4.916291,0,8,Cannabinoids
0.552592,0,0,0,1.248558,0.958145,-0.067063,4.972466,0,5,Cannabinoids
0.528202,0,0,0,1.314959,1.226457,-0.023385,5.368312,0,7,Cannabinoids
0.542767,0,0,0,1.273723,1.116925,-0.026599,5.158563,0,6,Cannabinoids
0.603387,0,0,0,1.15868,0.822124,-0.115758,4.873501,0,8,Cannabinoids
0.643669,0,0,0,1.122839,1.049875,0.070895,5.232361,0,9,Cannabinoids
0.661246,0,0,0,1.192147,0.910492,-0.054607,5.027402,0,6,Cannabinoids
0.625953,1,2.457039,0,1.123302,0.984191,0.012251,4.689456,0,3,Cannabinoids
0.492457,0,0,0,1.278019,0.745921,-0.061191,5.20044,0,5,Cannabinoids
0.631609,0,0,0,1.185071,1.150185,0.072101,5.173661,0,9,Cannabinoids
0.600822,0,0,0,1.231542,0.719103,-0.233973,5.067101,0,6,Cannabinoids
0.568322,0,0,0,1.342272,1.019114,0.179028,5.319236,0,6,Cannabinoids
0.515082,1,2.501374,0,1.204158,0.802359,0.077111,5.258759,0,8,Opioids
0.569049,0,0,0,1.329429,1.012941,0.152854,5.354406,0,6,Cannabinoids
0.597577,0,0,0,1.256155,0.930265,-0.112489,5.136842,0,6,Cannabinoids
0.591293,1,4.666069,0,1.313601,1.460702,0.035854,5.675537,0,8,Phenethylamines
0.58993,1,4.52391,0,1.283204,1.114926,0.078157,5.318395,0,7,Opioids
0.600664,1,2.498226,0,1.156414,0.909229,0.039465,5.145189,0,6,Cannabinoids
0.551988,1,2.033851,0,1.154108,0.951851,-0.231969,5.145189,0,6,Cannabinoids
0.66148,1,2.457705,10.114317,1.147597,0.683845,0.027535,5.458591,1,3,Phenethylamines
0.56915,0,0,0,1.323643,0.971543,0.103472,5.388758,0,6,Cannabinoids
0.514042,0,0,0,1.288694,0.896906,-0.029559,5.269631,0,7,Cannabinoids
0.772194,1,2.214183,21.836263,1.061829,0.977618,-0.002485,4.997677,2,0,Cannabinoids
0.642192,1,2.336296,0,1.187063,0.984192,0.001176,5.276297,0,7,Phenethylamines
0.595605,0,0,0,1.17841,1.141971,0.042987,4.94774,0,8,Cannabinoids
0.662054,0,0,0,1.222296,0.893186,0.009879,4.821522,0,7,Cannabinoids
0.561036,0,0,0,1.405181,1.364085,0.096718,5.543875,0,8,Cannabinoids
0.570477,0,0,0,1.305295,1.049441,0.044379,5.215061,0,4,Cannabinoids
0.961609,1,2.478577,10.611409,1.141919,0.846543,0.069834,5.142915,1,2,Cannabinoids
0.59355,0,0,0,1.162444,0.916412,-0.036008,5.053661,0,9,Cannabinoids
0.692619,0,0,0,1.251727,0.900608,-0.035499,4.823715,0,7,Cannabinoids
0.563639,0,0,0,1.201698,1.014955,0.172855,4.788341,0,5,Cannabinoids
0.506814,0,0,0,1.276569,1.694313,0.051484,4.731241,0,6,Cannabinoids
